Customer_ID,Product_Name
1,"['Headphones', 'Laptop', 'Foundation']"
10,"['Curtains', 'Cookbook', 'Camera', 'Misc', 'T-Shirt', 'Misc', 'Misc', 'Laptop']"
100,"['Misc', 'Misc', 'Dress', 'Lipstick', 'Biography', 'Misc']"
1000,"['Misc', 'Misc', 'Misc', 'Misc', 'Camera', 'Misc']"
1001,"['Jacket', 'Lipstick', 'Perfume', 'Foundation', 'Misc']"
1002,"['Novel', 'Lamp', 'Smartphone', 'Laptop', 'Misc', 'Vase']"
1003,"['Smartphone', 'Jacket', 'Perfume', 'Lamp', 'Misc', 'Headphones']"
1004,"['Misc', 'Textbook', 'Vase', 'Camera', 'Misc', 'Textbook', 'Vase']"
1005,"['Cookbook', 'Misc', 'Jeans', 'Candle', 'Vase', 'Misc']"
1006,"['Misc', 'Jacket', 'Vase', 'Misc', 'Lamp']"
1007,"['Novel', 'Textbook', 'Misc', 'Foundation', 'Perfume', 'Perfume']"
1008,"['Laptop', 'Mascara', 'Laptop']"
1009,"['Jeans', 'Smartphone', 'Foundation', 'Misc', 'Curtains', 'Novel', 'Misc']"
101,"['Misc', 'Perfume', 'Lamp', 'Misc']"
1010,"['Novel', 'Laptop', 'Curtains', 'Novel']"
1011,"['Foundation', 'Headphones', 'Misc', 'Lipstick', 'Laptop', 'Jacket', 'Dress', 'Candle']"
1012,"['T-Shirt', 'Misc']"
1013,"['Camera', 'Jeans']"
1014,"['Foundation', 'Smartphone', 'Misc', 'Laptop', 'Lipstick', 'Misc']"
1015,"['Dress', 'Laptop', 'Misc']"
1016,"['Novel', 'Vase', 'Novel', 'Misc', 'Misc']"
1017,"['Biography', 'Lipstick', 'Lamp', 'Dress']"
1018,"['Textbook', 'Misc', 'Laptop']"
1019,"['Laptop', 'Candle', 'Misc']"
102,"['Camera', 'Textbook', 'Smartphone']"
1020,"['Laptop', 'Misc', 'Camera', 'Candle', 'Mascara', 'Vase', 'Biography', 'Curtains']"
1021,['Misc']
1022,"['Dress', 'Candle', 'Textbook', 'Mascara']"
1024,"['Cookbook', 'Cookbook', 'Novel', 'Misc', 'Jeans']"
1025,"['T-Shirt', 'Misc']"
1026,"['Misc', 'Vase', 'Misc', 'T-Shirt']"
1027,"['Misc', 'Lipstick', 'Misc', 'Misc']"
1028,"['Camera', 'Cookbook', 'Misc', 'Foundation', 'Misc', 'Mascara', 'Lipstick', 'Lamp']"
1029,"['Laptop', 'Novel']"
103,"['Vase', 'Lipstick', 'Perfume', 'Mascara', 'Misc', 'Perfume']"
1030,"['Camera', 'Laptop', 'Foundation']"
1031,"['Headphones', 'Laptop', 'Misc']"
1032,"['Laptop', 'Textbook', 'Foundation', 'Laptop', 'Cookbook', 'Misc', 'Misc']"
1033,"['Foundation', 'Misc', 'Misc', 'Misc', 'Misc', 'Lamp']"
1034,"['Foundation', 'Perfume', 'Misc', 'Misc', 'Misc']"
